STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       1420;202503300000;    2; 1007.5;   2.3;  -2.3;  76.0;  -1.5;eor
       1420;202503300010;    2; 1007.6;   2.2;  -2.0;  77.2;  -1.4;eor
       1420;202503300020;    2; 1007.4;   2.0;  -2.8;  76.9;  -1.6;eor
       1420;202503300030;    2; 1007.3;   1.6;  -3.3;  77.7;  -1.9;eor
       1420;202503300040;    2; 1007.4;   1.6;  -2.5;  78.7;  -1.7;eor
       1420;202503300050;    2; 1007.3;   1.2;  -3.0;  79.1;  -2.0;eor
       1420;202503300100;    2; 1007.5;   1.1;  -2.8;  80.2;  -1.9;eor
       1420;202503300110;    2; 1007.5;   1.0;  -2.8;  80.5;  -2.0;eor
       1420;202503300120;    2; 1007.5;   1.0;  -2.8;  80.5;  -2.0;eor
       1420;202503300130;    2; 1007.5;   0.9;  -3.4;  80.8;  -2.0;eor
       1420;202503300140;    2; 1007.5;   0.7;  -3.2;  80.7;  -2.2;eor
       1420;202503300150;    2; 1007.5;   0.5;  -3.5;  81.4;  -2.3;eor
       1420;202503300200;    2; 1007.4;   0.5;  -3.0;  82.5;  -2.1;eor
       1420;202503300210;    2; 1007.4;   0.3;  -3.1;  83.5;  -2.2;eor
       1420;202503300220;    2; 1007.2;  -0.3;  -3.5;  83.7;  -2.7;eor
       1420;202503300230;    2; 1007.2;   0.3;  -2.8;  84.1;  -2.1;eor
       1420;202503300240;    2; 1007.2;  -0.1;  -2.6;  83.6;  -2.5;eor
       1420;202503300250;    2; 1007.3;   0.1;  -3.0;  84.3;  -2.2;eor
       1420;202503300300;    2; 1007.1;   0.0;  -2.8;  84.4;  -2.3;eor
       1420;202503300310;    2; 1006.7;  -0.4;  -2.8;  84.8;  -2.6;eor
       1420;202503300320;    2; 1006.4;   0.0;  -2.9;  85.9;  -2.1;eor
       1420;202503300330;    2; 1006.3;  -0.1;  -3.4;  85.6;  -2.2;eor
       1420;202503300340;    2; 1005.9;  -0.2;  -3.2;  85.5;  -2.3;eor
       1420;202503300350;    2; 1006.4;   0.3;  -2.7;  85.8;  -1.8;eor
       1420;202503300400;    2; 1006.1;  -0.3;  -3.6;  86.2;  -2.3;eor
       1420;202503300410;    2; 1006.0;  -0.8;  -4.0;  87.6;  -2.6;eor
       1420;202503300420;    2; 1006.2;  -0.6;  -3.3;  89.1;  -2.2;eor
       1420;202503300430;    2; 1006.2;  -0.5;  -3.9;  89.0;  -2.1;eor
       1420;202503300440;    2; 1006.0;  -0.6;  -3.1;  85.5;  -2.7;eor
       1420;202503300450;    2; 1006.1;  -0.2;  -2.5;  88.4;  -1.9;eor
       1420;202503300500;    2; 1006.0;  -0.2;  -1.9;  87.6;  -2.0;eor
       1420;202503300510;    2; 1005.9;  -0.2;  -2.1;  86.5;  -2.2;eor
       1420;202503300520;    2; 1006.1;  -0.1;  -2.0;  86.5;  -2.1;eor
       1420;202503300530;    2; 1005.9;  -0.3;  -1.5;  86.5;  -2.3;eor
       1420;202503300540;    2; 1005.8;   1.1;  -0.7;  84.5;  -1.2;eor
       1420;202503300550;    2; 1005.7;   0.9;  -0.6;  86.0;  -1.2;eor
       1420;202503300600;    2; 1005.7;   1.9;   0.2;  83.3;  -0.6;eor
       1420;202503300610;    2; 1005.9;   2.2;   0.8;  82.3;  -0.5;eor
       1420;202503300620;    2; 1005.8;   2.6;   1.4;  81.3;  -0.3;eor
       1420;202503300630;    2; 1005.7;   3.1;   2.6;  80.7;   0.1;eor
       1420;202503300640;    2; 1005.6;   3.6;   3.2;  78.5;   0.2;eor
       1420;202503300650;    2; 1005.4;   4.1;   3.8;  77.1;   0.5;eor
       1420;202503300700;    2; 1005.2;   4.5;   4.2;  74.3;   0.3;eor
       1420;202503300710;    2; 1004.9;   4.9;   4.7;  75.0;   0.8;eor
       1420;202503300720;    2; 1004.8;   5.9;   6.7;  74.2;   1.7;eor
       1420;202503300730;    2; 1004.7;   6.3;   7.0;  71.0;   1.4;eor
       1420;202503300740;    2; 1004.8;   6.6;   7.3;  68.7;   1.3;eor
       1420;202503300750;    2; 1004.6;   7.5;   8.5;  66.4;   1.6;eor
       1420;202503300800;    2; 1004.5;   8.6;   9.7;  62.6;   1.9;eor
       1420;202503300810;    2; 1004.4;   9.3;  10.9;  58.4;   1.6;eor
       1420;202503300820;    2; 1004.3;   9.6;  10.5;  55.0;   1.0;eor
       1420;202503300830;    2; 1004.5;   9.9;  10.6;  50.3;   0.0;eor
       1420;202503300840;    2; 1004.6;   9.8;  10.3;  49.1;  -0.4;eor
       1420;202503300850;    2; 1004.6;   9.8;  10.3;  50.0;  -0.1;eor
       1420;202503300900;    2; 1004.5;   9.8;  10.1;  49.6;  -0.2;eor
       1420;202503300910;    2; 1004.4;   9.8;  10.3;  50.4;   0.0;eor
       1420;202503300920;    2; 1004.5;  10.1;  10.6;  51.0;   0.4;eor
       1420;202503300930;    2; 1004.5;  10.1;  10.6;  52.0;   0.7;eor
       1420;202503300940;    2; 1004.4;  10.4;  11.3;  51.8;   0.9;eor
       1420;202503300950;    2; 1004.5;  10.4;  10.6;  53.2;   1.3;eor
       1420;202503301000;    2; 1004.5;  10.4;  10.8;  55.9;   2.0;eor
       1420;202503301010;    2; 1004.7;  10.1;  10.3;  60.6;   2.8;eor
       1420;202503301020;    2; 1004.6;   9.7;   9.2;  64.9;   3.4;eor
       1420;202503301030;    2; 1004.4;   9.9;  10.1;  65.2;   3.7;eor
       1420;202503301040;    2; 1004.4;  10.0;   9.8;  67.7;   4.3;eor
       1420;202503301050;    2; 1004.5;  10.2;  10.6;  66.7;   4.3;eor
       1420;202503301100;    2; 1004.4;  10.5;  11.3;  64.6;   4.1;eor
       1420;202503301110;    2; 1004.3;  11.2;  12.5;  63.5;   4.5;eor
       1420;202503301120;    2; 1004.5;  11.0;  11.8;  63.0;   4.2;eor
       1420;202503301130;    2; 1004.5;  11.0;  11.8;  62.3;   4.1;eor
       1420;202503301140;    2; 1004.5;  11.3;  12.9;  61.7;   4.2;eor
       1420;202503301150;    2; 1004.5;  11.4;  12.1;  62.1;   4.4;eor
       1420;202503301200;    2; 1004.4;  11.1;  12.3;  62.8;   4.3;eor
       1420;202503301210;    2; 1004.2;  11.1;  11.8;  61.9;   4.1;eor
       1420;202503301220;    2; 1004.2;  11.0;  11.6;  62.3;   4.1;eor
       1420;202503301230;    2; 1004.1;  11.0;  11.4;  63.2;   4.3;eor
       1420;202503301240;    2; 1004.2;  11.1;  11.4;  63.3;   4.4;eor
       1420;202503301250;    2; 1004.2;  11.2;  11.3;  64.2;   4.7;eor
       1420;202503301300;    2; 1004.0;  11.6;  13.5;  63.3;   4.9;eor
