STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       1420;202503300000;    2;   1.5; 210;eor
       1420;202503300010;    2;   1.5; 230;eor
       1420;202503300020;    2;   1.2; 200;eor
       1420;202503300030;    2;   1.5; 190;eor
       1420;202503300040;    2;   1.7; 210;eor
       1420;202503300050;    2;   1.9; 210;eor
       1420;202503300100;    2;   1.1; 170;eor
       1420;202503300110;    2;   0.9; 170;eor
       1420;202503300120;    2;   1.1; 170;eor
       1420;202503300130;    2;   0.9; 160;eor
       1420;202503300140;    2;   1.2; 180;eor
       1420;202503300150;    2;   1.3; 190;eor
       1420;202503300200;    2;   1.5; 170;eor
       1420;202503300210;    2;   0.9; 200;eor
       1420;202503300220;    2;   1.8; 190;eor
       1420;202503300230;    2;   1.7; 190;eor
       1420;202503300240;    2;   0.9; 210;eor
       1420;202503300250;    2;   0.7; 190;eor
       1420;202503300300;    2;   1.4; 170;eor
       1420;202503300310;    2;   2.1; 180;eor
       1420;202503300320;    2;   2.4; 180;eor
       1420;202503300330;    2;   2.6; 190;eor
       1420;202503300340;    2;   2.8; 190;eor
       1420;202503300350;    2;   2.3; 210;eor
       1420;202503300400;    2;   1.8; 230;eor
       1420;202503300410;    2;   2.3; 200;eor
       1420;202503300420;    2;   2.8; 200;eor
       1420;202503300430;    2;   3.2; 220;eor
       1420;202503300440;    2;   2.2; 190;eor
       1420;202503300450;    2;   2.6; 200;eor
       1420;202503300500;    2;   2.5; 200;eor
       1420;202503300510;    2;   2.7; 200;eor
       1420;202503300520;    2;   3.3; 210;eor
       1420;202503300530;    2;   2.6; 190;eor
       1420;202503300540;    2;   2.7; 190;eor
       1420;202503300550;    2;   2.6; 190;eor
       1420;202503300600;    2;   2.5; 200;eor
       1420;202503300610;    2;   2.6; 230;eor
       1420;202503300620;    2;   3.7; 230;eor
       1420;202503300630;    2;   4.4; 230;eor
       1420;202503300640;    2;   3.3; 230;eor
       1420;202503300650;    2;   4.2; 210;eor
       1420;202503300700;    2;   4.3; 210;eor
       1420;202503300710;    2;   4.7; 200;eor
       1420;202503300720;    2;   4.0; 190;eor
       1420;202503300730;    2;   4.9; 200;eor
       1420;202503300740;    2;   6.1; 210;eor
       1420;202503300750;    2;   6.5; 220;eor
       1420;202503300800;    2;   6.1; 220;eor
       1420;202503300810;    2;   5.4; 210;eor
       1420;202503300820;    2;   5.4; 210;eor
       1420;202503300830;    2;   6.4; 220;eor
       1420;202503300840;    2;   6.4; 230;eor
       1420;202503300850;    2;   7.6; 240;eor
       1420;202503300900;    2;   9.2; 240;eor
       1420;202503300910;    2;   9.1; 240;eor
       1420;202503300920;    2;   7.9; 240;eor
       1420;202503300930;    2;   8.4; 240;eor
       1420;202503300940;    2;   7.5; 240;eor
       1420;202503300950;    2;   7.4; 240;eor
       1420;202503301000;    2;   6.7; 240;eor
       1420;202503301010;    2;   7.3; 260;eor
       1420;202503301020;    2;   8.3; 260;eor
       1420;202503301030;    2;   8.7; 240;eor
       1420;202503301040;    2;   7.7; 240;eor
       1420;202503301050;    2;   6.0; 230;eor
       1420;202503301100;    2;   7.3; 250;eor
       1420;202503301110;    2;   9.3; 260;eor
       1420;202503301120;    2;   9.0; 260;eor
       1420;202503301130;    2;   9.2; 260;eor
       1420;202503301140;    2;   8.7; 270;eor
       1420;202503301150;    2;   9.0; 260;eor
       1420;202503301200;    2;   8.5; 260;eor
       1420;202503301210;    2;   9.0; 250;eor
       1420;202503301220;    2;   7.9; 250;eor
       1420;202503301230;    2;   9.0; 250;eor
       1420;202503301240;    2;   8.8; 250;eor
       1420;202503301250;    2;   7.3; 240;eor
       1420;202503301300;    2;   7.1; 240;eor
       1420;202503301310;    2;   8.1; 230;eor
       1420;202503301320;    2;   8.0; 240;eor
       1420;202503301330;    2;   8.8; 240;eor
       1420;202503301340;    2;   8.4; 240;eor
       1420;202503301350;    2;   9.6; 240;eor
       1420;202503301400;    2;   9.5; 240;eor
       1420;202503301410;    2;   9.2; 230;eor
       1420;202503301420;    2;   8.4; 240;eor
       1420;202503301430;    2;   9.1; 240;eor
       1420;202503301440;    2;   8.5; 240;eor
       1420;202503301450;    2;   9.2; 230;eor
       1420;202503301500;    2;   7.8; 240;eor
       1420;202503301510;    2;   8.7; 240;eor
       1420;202503301520;    2;   8.4; 240;eor
       1420;202503301530;    2;   9.1; 250;eor
       1420;202503301540;    2;   8.1; 250;eor
       1420;202503301550;    2;   7.8; 250;eor
       1420;202503301600;    2;   7.2; 250;eor
       1420;202503301610;    2;   7.3; 260;eor
       1420;202503301620;    2;   7.2; 280;eor
