STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       1420;202503290000;    2;   1.6;  40;eor
       1420;202503290010;    2;   1.6;  40;eor
       1420;202503290020;    2;   1.5;  20;eor
       1420;202503290030;    2;   1.6; 330;eor
       1420;202503290040;    2;   2.1; 330;eor
       1420;202503290050;    2;   2.6; 340;eor
       1420;202503290100;    2;   1.9; 350;eor
       1420;202503290110;    2;   1.2;  30;eor
       1420;202503290120;    2;   1.3; 360;eor
       1420;202503290130;    2;   0.9; 350;eor
       1420;202503290140;    2;   1.0; 300;eor
       1420;202503290150;    2;   2.1; 300;eor
       1420;202503290200;    2;   2.0; 310;eor
       1420;202503290210;    2;   2.6; 310;eor
       1420;202503290220;    2;   2.3; 300;eor
       1420;202503290230;    2;   2.5; 310;eor
       1420;202503290240;    2;   3.3; 310;eor
       1420;202503290250;    2;   3.8; 320;eor
       1420;202503290300;    2;   3.1; 320;eor
       1420;202503290310;    2;   3.3; 320;eor
       1420;202503290320;    2;   3.2; 320;eor
       1420;202503290330;    2;   3.8; 320;eor
       1420;202503290340;    2;   4.2; 320;eor
       1420;202503290350;    2;   3.1; 330;eor
       1420;202503290400;    2;   2.1; 360;eor
       1420;202503290410;    2;   2.4;  10;eor
       1420;202503290420;    2;   2.1;  10;eor
       1420;202503290430;    2;   2.2;  20;eor
       1420;202503290440;    2;   3.4;  20;eor
       1420;202503290450;    2;   3.7;  20;eor
       1420;202503290500;    2;   5.4;  20;eor
       1420;202503290510;    2;   5.7;  20;eor
       1420;202503290520;    2;   5.8;  20;eor
       1420;202503290530;    2;   5.6;  20;eor
       1420;202503290540;    2;   5.4;  20;eor
       1420;202503290550;    2;   5.2;  20;eor
       1420;202503290600;    2;   4.9;  20;eor
       1420;202503290610;    2;   4.6;  10;eor
       1420;202503290620;    2;   4.4;  20;eor
       1420;202503290630;    2;   4.6;  20;eor
       1420;202503290640;    2;   4.1;  20;eor
       1420;202503290650;    2;   3.7;  10;eor
       1420;202503290700;    2;   4.1;  10;eor
       1420;202503290710;    2;   4.5;  20;eor
       1420;202503290720;    2;   4.0;  20;eor
       1420;202503290730;    2;   5.0;  20;eor
       1420;202503290740;    2;   5.3;  20;eor
       1420;202503290750;    2;   5.5;  20;eor
       1420;202503290800;    2;   6.4;  20;eor
       1420;202503290810;    2;   5.4;  10;eor
       1420;202503290820;    2;   5.6;  10;eor
       1420;202503290830;    2;   5.8; 360;eor
       1420;202503290840;    2;   5.9; 360;eor
       1420;202503290850;    2;   5.0; 360;eor
       1420;202503290900;    2;   5.4; 360;eor
       1420;202503290910;    2;   5.3; 360;eor
       1420;202503290920;    2;   5.5; 350;eor
       1420;202503290930;    2;   5.9; 350;eor
       1420;202503290940;    2;   5.9; 350;eor
       1420;202503290950;    2;   5.7; 360;eor
