STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       1420;202503230000;    2;  989.6;  12.4;  11.1;  58.2;   4.4;eor
       1420;202503230010;    2;  989.7;  11.4;   9.6;  63.8;   4.8;eor
       1420;202503230020;    2;  989.7;  11.8;   8.6;  61.6;   4.7;eor
       1420;202503230030;    2;  989.5;  11.5;  10.2;  63.6;   4.8;eor
       1420;202503230040;    2;  989.5;  11.4;   8.7;  64.6;   5.0;eor
       1420;202503230050;    2;  989.5;  10.8;   7.5;  67.7;   5.1;eor
       1420;202503230100;    2;  989.4;  10.6;   7.2;  67.3;   4.8;eor
       1420;202503230110;    2;  989.4;  10.3;   8.0;  68.3;   4.7;eor
       1420;202503230120;    2;  989.3;  12.1;  10.7;  59.6;   4.5;eor
       1420;202503230130;    2;  989.3;  11.2;   9.6;  63.9;   4.6;eor
       1420;202503230140;    2;  989.3;  12.2;  11.0;  58.6;   4.3;eor
       1420;202503230150;    2;  989.3;  12.0;  10.8;  60.3;   4.6;eor
       1420;202503230200;    2;  989.4;  11.5;  10.0;  62.5;   4.6;eor
       1420;202503230210;    2;  989.6;  11.4;   9.7;  63.0;   4.6;eor
       1420;202503230220;    2;  989.8;  11.6;  10.3;  61.1;   4.4;eor
       1420;202503230230;    2;  989.6;  11.4;  10.1;  62.2;   4.4;eor
       1420;202503230240;    2;  989.6;  12.2;  10.9;  59.3;   4.5;eor
       1420;202503230250;    2;  989.6;  11.6;   9.8;  61.9;   4.5;eor
       1420;202503230300;    2;  989.4;  12.4;  11.1;  58.0;   4.4;eor
       1420;202503230310;    2;  989.4;  12.1;  10.6;  60.4;   4.7;eor
       1420;202503230320;    2;  989.3;  12.4;  10.5;  59.6;   4.8;eor
       1420;202503230330;    2;  989.4;  12.0;  10.0;  61.1;   4.7;eor
       1420;202503230340;    2;  989.5;  10.4;   8.3;  67.8;   4.7;eor
       1420;202503230350;    2;  989.4;  10.8;   8.8;  66.4;   4.8;eor
       1420;202503230400;    2;  989.5;   9.8;   8.4;  72.7;   5.1;eor
       1420;202503230410;    2;  989.6;  10.9;   9.5;  67.6;   5.1;eor
       1420;202503230420;    2;  989.7;  11.2;  10.1;  64.1;   4.7;eor
