STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       1420;202503240000;    2;  997.5;   9.8;   7.8;  88.3;   8.0;eor
       1420;202503240010;    2;  997.5;   9.9;   8.2;  90.5;   8.4;eor
       1420;202503240020;    2;  997.5;   9.8;   8.0;  91.4;   8.5;eor
       1420;202503240030;    2;  997.6;   9.7;   8.3;  90.4;   8.2;eor
       1420;202503240040;    2;  997.6;   9.7;   8.3;  90.7;   8.3;eor
       1420;202503240050;    2;  997.6;   9.8;   8.2;  90.1;   8.3;eor
       1420;202503240100;    2;  997.7;   9.6;   8.2;  90.0;   8.0;eor
       1420;202503240110;    2;  997.6;   9.6;   8.2;  90.4;   8.1;eor
       1420;202503240120;    2;  997.7;   9.5;   8.1;  90.6;   8.0;eor
       1420;202503240130;    2;  997.7;   9.3;   8.0;  91.2;   7.9;eor
       1420;202503240140;    2;  997.8;   9.5;   8.4;  90.7;   8.1;eor
       1420;202503240150;    2;  997.7;   9.4;   8.1;  90.8;   8.0;eor
       1420;202503240200;    2;  997.7;   9.3;   7.6;  90.8;   7.9;eor
       1420;202503240210;    2;  997.7;   9.4;   7.2;  90.9;   8.0;eor
       1420;202503240220;    2;  997.6;   9.2;   6.8;  91.3;   7.9;eor
       1420;202503240230;    2;  997.6;   9.0;   7.1;  92.6;   7.9;eor
       1420;202503240240;    2;  997.6;   8.7;   6.9;  91.7;   7.4;eor
       1420;202503240250;    2;  997.6;   8.7;   6.9;  92.2;   7.5;eor
       1420;202503240300;    2;  997.6;   8.8;   6.9;  93.8;   7.9;eor
       1420;202503240310;    2;  997.6;   8.9;   7.4;  91.7;   7.6;eor
       1420;202503240320;    2;  997.6;   8.9;   7.4;  90.4;   7.4;eor
       1420;202503240330;    2;  997.7;   8.8;   7.3;  90.3;   7.3;eor
       1420;202503240340;    2;  997.7;   8.7;   6.7;  90.6;   7.3;eor
       1420;202503240350;    2;  997.8;   8.9;   7.4;  89.8;   7.3;eor
       1420;202503240400;    2;  997.7;   9.0;   7.4;  87.7;   7.1;eor
       1420;202503240410;    2;  997.8;   9.1;   7.3;  85.6;   6.8;eor
       1420;202503240420;    2;  997.9;   9.1;   7.1;  85.3;   6.8;eor
       1420;202503240430;    2;  997.9;   9.0;   7.3;  84.0;   6.4;eor
       1420;202503240440;    2;  998.0;   9.2;   7.7;  81.4;   6.2;eor
       1420;202503240450;    2;  998.0;   8.9;   7.5;  82.6;   6.1;eor
       1420;202503240500;    2;  998.1;   8.3;   6.5;  86.5;   6.2;eor
       1420;202503240510;    2;  998.2;   8.6;   6.8;  84.4;   6.1;eor
       1420;202503240520;    2;  998.3;   8.4;   6.4;  84.6;   6.0;eor
       1420;202503240530;    2;  998.5;   7.7;   6.0;  86.2;   5.5;eor
       1420;202503240540;    2;  998.7;   7.6;   5.7;  88.9;   5.9;eor
       1420;202503240550;    2;  998.8;   7.7;   5.6;  88.6;   5.9;eor
       1420;202503240600;    2;  998.9;   7.6;   5.9;  89.4;   6.0;eor
       1420;202503240610;    2;  999.0;   7.7;   6.4;  88.9;   6.0;eor
       1420;202503240620;    2;  999.0;   8.7;   7.6;  82.3;   5.9;eor
       1420;202503240630;    2;  999.1;   8.7;   7.7;  83.0;   6.0;eor
       1420;202503240640;    2;  999.3;   9.0;   8.4;  82.1;   6.1;eor
       1420;202503240650;    2;  999.3;   9.5;   9.0;  80.2;   6.3;eor
       1420;202503240700;    2;  999.4;  10.6;  10.6;  76.1;   6.6;eor
       1420;202503240710;    2;  999.5;  11.7;  11.6;  72.5;   6.9;eor
       1420;202503240720;    2;  999.7;  11.9;  11.4;  69.7;   6.5;eor
