STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       1420;202503290000;    2;  996.7;  11.2;   9.4;  61.4;   4.1;eor
       1420;202503290010;    2;  996.7;  11.1;   9.3;  62.2;   4.1;eor
       1420;202503290020;    2;  996.8;  10.9;   9.1;  62.7;   4.1;eor
       1420;202503290030;    2;  996.8;  10.4;   8.1;  64.8;   4.1;eor
       1420;202503290040;    2;  996.9;  10.4;   8.8;  65.9;   4.3;eor
       1420;202503290050;    2;  996.9;   9.9;   7.8;  67.9;   4.3;eor
       1420;202503290100;    2;  997.1;   9.7;   7.2;  69.4;   4.4;eor
       1420;202503290110;    2;  997.1;   9.9;   7.7;  69.4;   4.6;eor
       1420;202503290120;    2;  997.1;   9.4;   7.0;  71.4;   4.5;eor
       1420;202503290130;    2;  997.2;   9.6;   6.7;  71.1;   4.6;eor
       1420;202503290140;    2;  997.2;   9.4;   6.6;  71.8;   4.6;eor
       1420;202503290150;    2;  997.2;   9.1;   6.7;  72.4;   4.4;eor
       1420;202503290200;    2;  997.3;   9.0;   7.0;  72.6;   4.3;eor
       1420;202503290210;    2;  997.5;   8.8;   6.5;  73.1;   4.3;eor
       1420;202503290220;    2;  997.6;   8.8;   6.8;  73.5;   4.3;eor
       1420;202503290230;    2;  997.8;   8.9;   7.2;  73.0;   4.3;eor
       1420;202503290240;    2;  997.9;   8.7;   7.1;  73.2;   4.2;eor
       1420;202503290250;    2;  998.0;   8.6;   7.0;  73.1;   4.1;eor
       1420;202503290300;    2;  998.1;   8.4;   6.8;  74.0;   4.0;eor
       1420;202503290310;    2;  998.2;   8.4;   6.7;  74.2;   4.1;eor
       1420;202503290320;    2;  998.3;   8.2;   6.3;  74.6;   4.0;eor
       1420;202503290330;    2;  998.3;   8.3;   6.6;  74.1;   4.0;eor
       1420;202503290340;    2;  998.4;   8.4;   7.0;  73.4;   3.9;eor
       1420;202503290350;    2;  998.5;   8.6;   7.6;  72.4;   3.9;eor
       1420;202503290400;    2;  998.7;   8.9;   7.8;  71.4;   4.0;eor
       1420;202503290410;    2;  998.8;   9.0;   8.0;  70.8;   4.0;eor
       1420;202503290420;    2;  998.9;   9.0;   7.9;  70.8;   4.0;eor
       1420;202503290430;    2;  999.0;   8.9;   7.7;  71.7;   4.1;eor
       1420;202503290440;    2;  999.2;   8.8;   7.5;  72.2;   4.1;eor
       1420;202503290450;    2;  999.4;   8.6;   7.0;  72.9;   4.0;eor
       1420;202503290500;    2;  999.6;   8.7;   7.2;  72.9;   4.1;eor
       1420;202503290510;    2;  999.8;   8.2;   6.4;  74.5;   3.9;eor
       1420;202503290520;    2; 1000.0;   9.3;   8.3;  70.2;   4.2;eor
       1420;202503290530;    2; 1000.2;   8.9;   7.7;  71.7;   4.1;eor
       1420;202503290540;    2; 1000.5;   9.0;   7.9;  71.3;   4.1;eor
       1420;202503290550;    2; 1000.8;   9.1;   8.1;  71.1;   4.1;eor
       1420;202503290600;    2; 1001.0;   9.3;   8.4;  70.5;   4.2;eor
       1420;202503290610;    2; 1001.2;   9.4;   8.6;  70.3;   4.3;eor
       1420;202503290620;    2; 1001.4;   9.6;   8.9;  69.8;   4.4;eor
       1420;202503290630;    2; 1001.6;   9.8;   9.2;  68.6;   4.3;eor
       1420;202503290640;    2; 1001.7;   9.8;   9.2;  69.0;   4.4;eor
       1420;202503290650;    2; 1001.8;   9.9;   9.2;  69.1;   4.5;eor
       1420;202503290700;    2; 1001.9;  10.3;   9.7;  64.9;   4.0;eor
       1420;202503290710;    2; 1002.0;  10.4;   9.8;  64.4;   4.0;eor
       1420;202503290720;    2; 1002.2;  10.4;  10.0;  64.9;   4.1;eor
       1420;202503290730;    2; 1002.4;  10.6;  10.1;  64.6;   4.2;eor
       1420;202503290740;    2; 1002.6;  10.7;  10.3;  62.9;   3.9;eor
       1420;202503290750;    2; 1002.8;  10.7;  10.2;  63.7;   4.1;eor
       1420;202503290800;    2; 1003.0;  10.6;  10.3;  64.1;   4.1;eor
       1420;202503290810;    2; 1003.1;  10.7;  10.5;  63.5;   4.1;eor
       1420;202503290820;    2; 1003.2;  10.8;  10.7;  63.8;   4.2;eor
       1420;202503290830;    2; 1003.3;  11.0;  11.0;  64.9;   4.7;eor
       1420;202503290840;    2; 1003.5;  10.9;  10.9;  63.4;   4.2;eor
       1420;202503290850;    2; 1003.5;  11.0;  11.1;  63.9;   4.4;eor
       1420;202503290900;    2; 1003.7;  10.9;  11.1;  64.2;   4.4;eor
       1420;202503290910;    2; 1003.8;  11.1;  11.3;  62.8;   4.3;eor
       1420;202503290920;    2; 1003.9;  11.1;  11.4;  62.5;   4.2;eor
