STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor;STATIONS_ID_wind;  QN_wind;FF_10;DD_10;eor_wind;STATIONS_ID_precip;  QN_precip;RWS_DAU_10;RWS_10;RWS_IND_10;eor_precip
1420;2025-03-24 00:00:00;2;997.5;9.8;7.8;88.3;8.0;eor;1420;2;0.7;180;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 00:10:00;2;997.5;9.9;8.2;90.5;8.4;eor;1420;2;0.9;170;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 00:20:00;2;997.5;9.8;8.0;91.4;8.5;eor;1420;2;0.9;150;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 00:30:00;2;997.6;9.7;8.3;90.4;8.2;eor;1420;2;1.0;150;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 00:40:00;2;997.6;9.7;8.3;90.7;8.3;eor;1420;2;0.8;120;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 00:50:00;2;997.6;9.8;8.2;90.1;8.3;eor;1420;2;0.7;120;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:00:00;2;997.7;9.6;8.2;90.0;8.0;eor;1420;2;0.7;150;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:10:00;2;997.6;9.6;8.2;90.4;8.1;eor;1420;2;0.5;120;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:20:00;2;997.7;9.5;8.1;90.6;8.0;eor;1420;2;1.0;180;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:30:00;2;997.7;9.3;8.0;91.2;7.9;eor;1420;2;0.5;180;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:40:00;2;997.8;9.5;8.4;90.7;8.1;eor;1420;2;0.3;290;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 01:50:00;2;997.7;9.4;8.1;90.8;8.0;eor;1420;2;0.4;290;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:00:00;2;997.7;9.3;7.6;90.8;7.9;eor;1420;2;0.6;250;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:10:00;2;997.7;9.4;7.2;90.9;8.0;eor;1420;2;1.2;230;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:20:00;2;997.6;9.2;6.8;91.3;7.9;eor;1420;2;1.0;130;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:30:00;2;997.6;9.0;7.1;92.6;7.9;eor;1420;2;0.7;260;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:40:00;2;997.6;8.7;6.9;91.7;7.4;eor;1420;2;0.6;30;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 02:50:00;2;997.6;8.7;6.9;92.2;7.5;eor;1420;2;0.3;350;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:00:00;2;997.6;8.8;6.9;93.8;7.9;eor;1420;2;0.4;110;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:10:00;2;997.6;8.9;7.4;91.7;7.6;eor;1420;2;1.1;190;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:20:00;2;997.6;8.9;7.4;90.4;7.4;eor;1420;2;1.2;170;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:30:00;2;997.7;8.8;7.3;90.3;7.3;eor;1420;2;1.2;170;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:40:00;2;997.7;8.7;6.7;90.6;7.3;eor;1420;2;1.0;170;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 03:50:00;2;997.8;8.9;7.4;89.8;7.3;eor;1420;2;1.1;170;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:00:00;2;997.7;9.0;7.4;87.7;7.1;eor;1420;2;1.4;190;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:10:00;2;997.8;9.1;7.3;85.6;6.8;eor;1420;2;1.1;210;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:20:00;2;997.9;9.1;7.1;85.3;6.8;eor;1420;2;1.2;230;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:30:00;2;997.9;9.0;7.3;84.0;6.4;eor;1420;2;1.2;230;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:40:00;2;998.0;9.2;7.7;81.4;6.2;eor;1420;2;1.4;230;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 04:50:00;2;998.0;8.9;7.5;82.6;6.1;eor;1420;2;1.9;230;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 05:00:00;2;998.1;8.3;6.5;86.5;6.2;eor;1420;2;2.1;240;eor;1420;2;0;0.0;0;eor
1420;2025-03-24 05:10:00;2;998.2;8.6;6.8;84.4;6.1;eor;1420;2;2.3;230;eor;1420;2;0;0.0;0;eor
