STATIONS_ID;MESS_DATUM;  QN;RWS_DAU_10;RWS_10;RWS_IND_10;eor
       1420;202503240000;    2;   0;   0.00;   0;eor
       1420;202503240010;    2;   0;   0.00;   0;eor
       1420;202503240020;    2;   0;   0.00;   0;eor
       1420;202503240030;    2;   0;   0.00;   0;eor
       1420;202503240040;    2;   0;   0.00;   0;eor
       1420;202503240050;    2;   0;   0.00;   0;eor
       1420;202503240100;    2;   0;   0.00;   0;eor
       1420;202503240110;    2;   0;   0.00;   0;eor
       1420;202503240120;    2;   0;   0.00;   0;eor
       1420;202503240130;    2;   0;   0.00;   0;eor
       1420;202503240140;    2;   0;   0.00;   0;eor
       1420;202503240150;    2;   0;   0.00;   0;eor
       1420;202503240200;    2;   0;   0.00;   0;eor
       1420;202503240210;    2;   0;   0.00;   0;eor
       1420;202503240220;    2;   0;   0.00;   0;eor
       1420;202503240230;    2;   0;   0.00;   0;eor
       1420;202503240240;    2;   0;   0.00;   0;eor
       1420;202503240250;    2;   0;   0.00;   0;eor
       1420;202503240300;    2;   0;   0.00;   0;eor
       1420;202503240310;    2;   0;   0.00;   0;eor
       1420;202503240320;    2;   0;   0.00;   0;eor
       1420;202503240330;    2;   0;   0.00;   0;eor
       1420;202503240340;    2;   0;   0.00;   0;eor
       1420;202503240350;    2;   0;   0.00;   0;eor
       1420;202503240400;    2;   0;   0.00;   0;eor
       1420;202503240410;    2;   0;   0.00;   0;eor
       1420;202503240420;    2;   0;   0.00;   0;eor
       1420;202503240430;    2;   0;   0.00;   0;eor
       1420;202503240440;    2;   0;   0.00;   0;eor
       1420;202503240450;    2;   0;   0.00;   0;eor
       1420;202503240500;    2;   0;   0.00;   0;eor
       1420;202503240510;    2;   0;   0.00;   0;eor
       1420;202503240520;    2;   0;   0.00;   0;eor
       1420;202503240530;    2;   0;   0.00;   0;eor
       1420;202503240540;    2;   0;   0.00;   0;eor
       1420;202503240550;    2;   0;   0.00;   0;eor
       1420;202503240600;    2;   0;   0.00;   0;eor
       1420;202503240610;    2;   0;   0.00;   0;eor
       1420;202503240620;    2;   0;   0.00;   0;eor
       1420;202503240630;    2;   0;   0.00;   0;eor
       1420;202503240640;    2;   0;   0.00;   0;eor
       1420;202503240650;    2;   0;   0.00;   0;eor
       1420;202503240700;    2;   0;   0.00;   0;eor
       1420;202503240710;    2;   0;   0.00;   0;eor
       1420;202503240720;    2;   0;   0.00;   0;eor
