STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor;STATIONS_ID_wind;  QN_wind;FF_10;DD_10;eor_wind;STATIONS_ID_precip;  QN_precip;RWS_DAU_10;RWS_10;RWS_IND_10;eor_precip
1420;2025-03-29 00:00:00;2;996.7;11.2;9.4;61.4;4.1;eor;1420;2;1.6;40;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 00:10:00;2;996.7;11.1;9.3;62.2;4.1;eor;1420;2;1.6;40;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 00:20:00;2;996.8;10.9;9.1;62.7;4.1;eor;1420;2;1.5;20;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 00:30:00;2;996.8;10.4;8.1;64.8;4.1;eor;1420;2;1.6;330;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 00:40:00;2;996.9;10.4;8.8;65.9;4.3;eor;1420;2;2.1;330;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 00:50:00;2;996.9;9.9;7.8;67.9;4.3;eor;1420;2;2.6;340;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:00:00;2;997.1;9.7;7.2;69.4;4.4;eor;1420;2;1.9;350;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:10:00;2;997.1;9.9;7.7;69.4;4.6;eor;1420;2;1.2;30;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:20:00;2;997.1;9.4;7.0;71.4;4.5;eor;1420;2;1.3;360;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:30:00;2;997.2;9.6;6.7;71.1;4.6;eor;1420;2;0.9;350;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:40:00;2;997.2;9.4;6.6;71.8;4.6;eor;1420;2;1.0;300;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 01:50:00;2;997.2;9.1;6.7;72.4;4.4;eor;1420;2;2.1;300;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:00:00;2;997.3;9.0;7.0;72.6;4.3;eor;1420;2;2.0;310;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:10:00;2;997.5;8.8;6.5;73.1;4.3;eor;1420;2;2.6;310;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:20:00;2;997.6;8.8;6.8;73.5;4.3;eor;1420;2;2.3;300;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:30:00;2;997.8;8.9;7.2;73.0;4.3;eor;1420;2;2.5;310;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:40:00;2;997.9;8.7;7.1;73.2;4.2;eor;1420;2;3.3;310;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 02:50:00;2;998.0;8.6;7.0;73.1;4.1;eor;1420;2;3.8;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:00:00;2;998.1;8.4;6.8;74.0;4.0;eor;1420;2;3.1;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:10:00;2;998.2;8.4;6.7;74.2;4.1;eor;1420;2;3.3;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:20:00;2;998.3;8.2;6.3;74.6;4.0;eor;1420;2;3.2;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:30:00;2;998.3;8.3;6.6;74.1;4.0;eor;1420;2;3.8;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:40:00;2;998.4;8.4;7.0;73.4;3.9;eor;1420;2;4.2;320;eor;1420;2;0;0.0;0;eor
1420;2025-03-29 03:50:00;2;998.5;8.6;7.6;72.4;3.9;eor;1420;2;3.1;330;eor;1420;2;0;0.0;0;eor
