STATIONS_ID;MESS_DATUM;  QN;RWS_DAU_10;RWS_10;RWS_IND_10;eor
       1420;202503290000;    2;   0;   0.00;   0;eor
       1420;202503290010;    2;   0;   0.00;   0;eor
       1420;202503290020;    2;   0;   0.00;   0;eor
       1420;202503290030;    2;   0;   0.00;   0;eor
       1420;202503290040;    2;   0;   0.00;   0;eor
       1420;202503290050;    2;   0;   0.00;   0;eor
       1420;202503290100;    2;   0;   0.00;   0;eor
       1420;202503290110;    2;   0;   0.00;   0;eor
       1420;202503290120;    2;   0;   0.00;   0;eor
       1420;202503290130;    2;   0;   0.00;   0;eor
       1420;202503290140;    2;   0;   0.00;   0;eor
       1420;202503290150;    2;   0;   0.00;   0;eor
       1420;202503290200;    2;   0;   0.00;   0;eor
       1420;202503290210;    2;   0;   0.00;   0;eor
       1420;202503290220;    2;   0;   0.00;   0;eor
       1420;202503290230;    2;   0;   0.00;   0;eor
       1420;202503290240;    2;   0;   0.00;   0;eor
       1420;202503290250;    2;   0;   0.00;   0;eor
       1420;202503290300;    2;   0;   0.00;   0;eor
       1420;202503290310;    2;   0;   0.00;   0;eor
       1420;202503290320;    2;   0;   0.00;   0;eor
       1420;202503290330;    2;   0;   0.00;   0;eor
       1420;202503290340;    2;   0;   0.00;   0;eor
       1420;202503290350;    2;   0;   0.00;   0;eor
       1420;202503290400;    2;   0;   0.00;   0;eor
       1420;202503290410;    2;   0;   0.00;   0;eor
       1420;202503290420;    2;   0;   0.00;   0;eor
       1420;202503290430;    2;   0;   0.00;   0;eor
       1420;202503290440;    2;   0;   0.00;   0;eor
       1420;202503290450;    2;   0;   0.00;   0;eor
       1420;202503290500;    2;   0;   0.00;   0;eor
       1420;202503290510;    2;   0;   0.00;   0;eor
       1420;202503290520;    2;   0;   0.00;   0;eor
       1420;202503290530;    2;   0;   0.00;   0;eor
       1420;202503290540;    2;   0;   0.00;   0;eor
       1420;202503290550;    2;   0;   0.00;   0;eor
       1420;202503290600;    2;   0;   0.00;   0;eor
       1420;202503290610;    2;   0;   0.00;   0;eor
       1420;202503290620;    2;   0;   0.00;   0;eor
       1420;202503290630;    2;   0;   0.00;   0;eor
       1420;202503290640;    2;   0;   0.00;   0;eor
       1420;202503290650;    2;   0;   0.00;   0;eor
       1420;202503290700;    2;   0;   0.00;   0;eor
       1420;202503290710;    2;   0;   0.00;   0;eor
       1420;202503290720;    2;   0;   0.00;   0;eor
       1420;202503290730;    2;   0;   0.00;   0;eor
       1420;202503290740;    2;   0;   0.00;   0;eor
       1420;202503290750;    2;   0;   0.00;   0;eor
       1420;202503290800;    2;   0;   0.00;   0;eor
       1420;202503290810;    2;   0;   0.00;   0;eor
       1420;202503290820;    2;   0;   0.00;   0;eor
       1420;202503290830;    2;   0;   0.00;   0;eor
       1420;202503290840;    2;   0;   0.00;   0;eor
       1420;202503290850;    2;   0;   0.00;   0;eor
       1420;202503290900;    2;   0;   0.00;   0;eor
       1420;202503290910;    2;   0;   0.00;   0;eor
       1420;202503290920;    2;   0;   0.00;   0;eor
       1420;202503290930;    2;   0;   0.00;   0;eor
       1420;202503290940;    2;   0;   0.00;   0;eor
       1420;202503290950;    2;   0;   0.00;   0;eor
