STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       7341;202503230000;    2;   0.7;  40;eor
       7341;202503230010;    2;   0.5; 360;eor
       7341;202503230020;    2;   0.7; 320;eor
       7341;202503230030;    2;   0.7; 360;eor
       7341;202503230040;    2;   0.5; 360;eor
       7341;202503230050;    2;   0.8; 260;eor
       7341;202503230100;    2;   1.2; 230;eor
       7341;202503230110;    2;   1.0; 320;eor
       7341;202503230120;    2;   2.6;  30;eor
       7341;202503230130;    2;   2.7;  60;eor
       7341;202503230140;    2;   2.0;  80;eor
       7341;202503230150;    2;   2.4;  80;eor
       7341;202503230200;    2;   2.5;  70;eor
       7341;202503230210;    2;   1.7; 100;eor
       7341;202503230220;    2;   1.6; 100;eor
       7341;202503230230;    2;   0.8;  50;eor
       7341;202503230240;    2;   2.5; 300;eor
       7341;202503230250;    2;   2.2; 320;eor
       7341;202503230300;    2;   1.5; 360;eor
       7341;202503230310;    2;   1.4;  40;eor
       7341;202503230320;    2;   2.2;  40;eor
       7341;202503230330;    2;   2.5;  40;eor
       7341;202503230340;    2;   2.5;  30;eor
       7341;202503230350;    2;   2.8;  20;eor
       7341;202503230400;    2;   2.6;  10;eor
       7341;202503230410;    2;   3.1;  20;eor
       7341;202503230420;    2;   1.9;  10;eor
       7341;202503230430;    2;   1.9;  10;eor
       7341;202503230440;    2;   1.6; 360;eor
       7341;202503230450;    2;   1.7; 340;eor
       7341;202503230500;    2;   1.5; 350;eor
       7341;202503230510;    2;   1.7;  10;eor
       7341;202503230520;    2;   1.5; 360;eor
       7341;202503230530;    2;   1.8; 360;eor
       7341;202503230540;    2;   1.7; 360;eor
       7341;202503230550;    2;   1.9; 360;eor
       7341;202503230600;    2;   1.4;  20;eor
       7341;202503230610;    2;   1.1;  10;eor
       7341;202503230620;    2;   1.2; 360;eor
       7341;202503230630;    2;   1.3; 360;eor
       7341;202503230640;    2;   1.5;  20;eor
       7341;202503230650;    2;   1.2;  20;eor
       7341;202503230700;    2;   1.0;  10;eor
       7341;202503230710;    2;   0.8; 320;eor
       7341;202503230720;    2;   1.0; 320;eor
       7341;202503230730;    2;   1.1; 310;eor
       7341;202503230740;    2;   1.4; 290;eor
       7341;202503230750;    2;   1.6; 300;eor
       7341;202503230800;    2;   1.0; 350;eor
       7341;202503230810;    2;   1.3; 300;eor
       7341;202503230820;    2;   1.4; 280;eor
       7341;202503230830;    2;   1.8; 290;eor
       7341;202503230840;    2;   1.7; 270;eor
       7341;202503230850;    2;   1.2; 270;eor
       7341;202503230900;    2;   0.7; 310;eor
       7341;202503230910;    2;   0.6; 330;eor
       7341;202503230920;    2;   0.7; 350;eor
       7341;202503230930;    2;   0.9; 360;eor
       7341;202503230940;    2;   0.6; 360;eor
       7341;202503230950;    2;   1.4;  40;eor
       7341;202503231000;    2;   1.1;  40;eor
       7341;202503231010;    2;   0.4;  20;eor
       7341;202503231020;    2;   1.0; 230;eor
       7341;202503231030;    2;   2.4; 230;eor
       7341;202503231040;    2;   3.0; 240;eor
       7341;202503231050;    2;   3.0; 260;eor
       7341;202503231100;    2;   2.8; 250;eor
       7341;202503231110;    2;   1.8; 230;eor
       7341;202503231120;    2;   1.9; 240;eor
       7341;202503231130;    2;   1.9; 290;eor
       7341;202503231140;    2;   2.4; 280;eor
       7341;202503231150;    2;   2.7; 260;eor
       7341;202503231200;    2;   2.3; 270;eor
       7341;202503231210;    2;   2.5; 270;eor
       7341;202503231220;    2;   2.9; 280;eor
       7341;202503231230;    2;   2.8; 250;eor
       7341;202503231240;    2;   3.1; 230;eor
       7341;202503231250;    2;   2.4; 240;eor
       7341;202503231300;    2;   2.3; 290;eor
       7341;202503231310;    2;   2.0; 250;eor
       7341;202503231320;    2;   2.2; 240;eor
       7341;202503231330;    2;   1.8; 250;eor
       7341;202503231340;    2;   1.2; 270;eor
       7341;202503231350;    2;   0.9; 290;eor
       7341;202503231400;    2;   0.9; 160;eor
       7341;202503231410;    2;   1.0; 220;eor
       7341;202503231420;    2;   1.1; 280;eor
       7341;202503231430;    2;   0.7; 330;eor
       7341;202503231440;    2;   1.2;  50;eor
       7341;202503231450;    2;   1.0;  80;eor
