STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       7341;202503231300;    2;  991.0;  15.1;  17.8;  55.3;   6.2;eor
       7341;202503231310;    2;  991.0;  15.8;  18.8;  54.3;   6.6;eor
       7341;202503231320;    2;  991.0;  16.3;  19.4;  52.1;   6.5;eor
       7341;202503231330;    2;  991.0;  15.6;  18.4;  52.1;   5.8;eor
       7341;202503231340;    2;  991.0;  15.7;  18.8;  50.9;   5.6;eor
       7341;202503231350;    2;  991.0;  15.9;  19.1;  51.2;   5.8;eor
       7341;202503231400;    2;  991.0;  16.2;  18.3;  52.1;   6.4;eor
       7341;202503231410;    2;  991.0;  16.1;  18.2;  50.7;   5.9;eor
       7341;202503231420;    2;  991.0;  16.2;  18.6;  49.8;   5.7;eor
       7341;202503231430;    2;  991.0;  16.1;  19.3;  49.1;   5.4;eor
       7341;202503231440;    2;  991.0;  16.2;  17.6;  51.6;   6.2;eor
       7341;202503231450;    2;  991.1;  16.4;  17.4;  50.9;   6.2;eor
