STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       7431;202502191300;    2;   -999;   0.0;  -0.7;  60.8;  -6.7;eor
       7431;202502191310;    2;   -999;   0.3;  -0.7;  59.6;  -6.6;eor
       7431;202502191320;    2;   -999;   0.3;  -0.4;  59.9;  -6.6;eor
       7431;202502191330;    2;   -999;   0.7;  -0.3;  57.2;  -6.8;eor
       7431;202502191340;    2;   -999;   0.6;   2.5;  58.8;  -6.5;eor
       7431;202502191350;    2;   -999;   0.8;   3.3;  58.2;  -6.5;eor
       7431;202502191400;    2;   -999;   0.3;   3.5;  62.4;  -6.0;eor
       7431;202502191410;    2;   -999;   1.0;   3.6;  58.0;  -6.3;eor
       7431;202502191420;    2;   -999;   0.6;   3.0;  63.8;  -5.5;eor
       7431;202502191430;    2;   -999;   1.1;   3.2;  57.1;  -6.5;eor
       7431;202502191440;    2;   -999;   1.2;   1.8;  57.4;  -6.3;eor
       7431;202502191450;    2;   -999;   1.0;   2.7;  59.5;  -6.0;eor
